iter	Passed	Remaining
596	841	568
597	842	566
598	844	565
599	845	563
600	846	562
601	848	560
602	849	559
603	851	558
604	852	556
605	854	555
606	855	553
607	856	552
608	858	550
609	859	549
610	860	548
611	862	546
612	863	545
613	864	543
614	866	542
615	867	540
616	868	539
617	869	537
618	871	536
619	872	534
620	873	533
621	875	531
622	876	530
623	878	529
624	879	527
625	881	526
626	882	525
627	883	523
628	884	521
629	886	520
630	887	519
631	889	517
632	890	516
633	891	514
634	894	514
635	896	512
636	897	511
637	898	509
638	900	508
639	901	506
640	902	505
641	904	504
642	905	502
643	906	501
644	908	499
645	909	498
646	911	497
647	913	496
648	915	495
649	916	493
650	917	492
651	919	490
652	920	489
653	922	487
654	923	486
655	925	485
656	926	483
657	928	482
658	929	481
659	931	479
660	932	478
661	933	476
662	937	476
663	938	474
664	939	473
665	941	472
666	942	470
667	943	469
668	945	467
669	946	466
670	948	464
671	949	463
672	951	462
673	952	460
674	955	460
675	956	458
676	958	457
677	959	455
678	961	454
679	962	453
680	964	451
681	965	450
682	967	448
683	968	447
684	970	446
685	971	444
686	973	443
687	976	442
688	977	441
689	979	439
690	980	438
691	982	437
692	983	435
693	985	434
694	986	432
695	987	431
696	989	430
697	990	428
698	992	427
699	994	426
700	996	424
701	997	423
702	999	422
703	1000	420
704	1002	419
705	1003	417
706	1005	416
707	1006	415
708	1008	413
709	1009	412
710	1011	410
711	1012	409
712	1014	408
713	1016	407
714	1017	405
715	1018	404
716	1020	402
717	1021	401
718	1023	399
719	1024	398
720	1025	396
721	1027	395
722	1028	394
723	1030	392
724	1031	391
725	1033	389
726	1034	388
727	1036	387
728	1037	385
729	1039	384
730	1040	382
731	1041	381
732	1043	380
733	1044	378
734	1046	377
735	1047	375
736	1049	374
737	1050	373
738	1052	371
739	1053	370
740	1055	368
741	1056	367
742	1057	365
743	1059	364
744	1061	363
745	1062	361
746	1064	360
747	1065	358
748	1066	357
749	1068	356
750	1070	354
751	1071	353
752	1072	351
753	1074	350
754	1076	349
755	1078	348
756	1080	346
757	1082	345
758	1083	344
759	1085	342
760	1086	341
761	1088	339
762	1089	338
763	1091	337
764	1092	335
765	1095	334
766	1096	333
767	1098	331
768	1099	330
769	1101	328
770	1102	327
771	1104	326
772	1105	324
773	1107	323
774	1108	321
775	1110	320
776	1111	319
777	1113	317
778	1114	316
779	1115	314
780	1116	313
781	1118	311
782	1119	310
783	1121	308
784	1122	307
785	1124	306
786	1125	304
787	1127	303
788	1128	301
789	1129	300
790	1131	298
791	1132	297
792	1135	296
793	1137	295
794	1138	293
795	1140	292
796	1141	290
797	1143	289
798	1145	288
799	1146	286
800	1147	285
801	1149	283
802	1150	282
803	1152	280
804	1153	279
805	1156	278
806	1158	277
807	1159	275
808	1161	274
809	1163	272
810	1164	271
811	1165	269
812	1167	268
813	1168	267
814	1170	265
815	1171	264
816	1173	262
817	1175	261
818	1177	260
819	1178	258
820	1180	257
821	1181	255
822	1182	254
823	1184	252
824	1186	251
825	1187	250
826	1189	248
827	1190	247
828	1192	245
829	1193	244
830	1196	243
831	1197	241
832	1199	240
833	1200	238
834	1201	237
835	1203	236
836	1204	234
837	1206	233
838	1207	231
839	1208	230
840	1210	228
841	1211	227
842	1213	225
843	1214	224
844	1216	223
845	1217	221
846	1218	220
847	1220	218
848	1221	217
849	1223	215
850	1224	214
851	1225	212
852	1227	211
853	1228	210
854	1230	208
855	1231	207
856	1234	205
857	1236	204
858	1237	203
859	1238	201
860	1240	200
861	1241	198
862	1243	197
863	1244	195
864	1246	194
865	1247	193
866	1248	191
867	1250	190
868	1251	188
869	1253	187
870	1254	185
871	1255	184
872	1257	182
873	1258	181
874	1259	179
875	1261	178
876	1262	177
877	1264	175
878	1265	174
879	1266	172
880	1268	171
881	1269	169
882	1271	168
883	1272	166
884	1273	165
885	1278	164
886	1279	163
887	1281	161
888	1282	160
889	1284	158
890	1285	157
891	1286	155
892	1288	154
893	1289	152
894	1291	151
895	1292	150
896	1294	148
897	1297	147
898	1298	145
899	1300	144
900	1301	143
901	1303	141
902	1304	140
903	1306	138
904	1307	137
905	1309	135
906	1310	134
907	1312	132
908	1313	131
909	1316	130
910	1318	128
911	1319	127
912	1321	125
913	1322	124
914	1323	122
915	1325	121
916	1326	120
917	1327	118
918	1328	117
919	1330	115
920	1331	114
921	1332	112
922	1333	111
923	1336	109
924	1338	108
925	1339	107
926	1341	105
927	1342	104
928	1343	102
929	1344	101
930	1346	99
931	1347	98
932	1349	96
933	1350	95
934	1351	93
935	1353	92
936	1354	91
937	1355	89
938	1357	88
939	1358	86
940	1359	85
941	1361	83
942	1362	82
943	1363	80
944	1365	79
945	1366	78
946	1368	76
947	1369	75
948	1370	73
949	1372	72
950	1373	70
951	1374	69
952	1376	67
953	1377	66
954	1378	64
955	1380	63
956	1381	62
957	1382	60
958	1384	59
959	1386	57
960	1387	56
961	1388	54
962	1390	53
963	1391	51
964	1392	50
965	1394	49
966	1395	47
967	1397	46
968	1398	44
969	1400	43
970	1402	41
971	1403	40
972	1405	38
973	1406	37
974	1407	36
975	1409	34
976	1410	33
977	1412	31
978	1413	30
979	1414	28
980	1417	27
981	1418	25
982	1419	24
983	1421	23
984	1422	21
985	1424	20
986	1425	18
987	1426	17
988	1428	15
989	1429	14
990	1431	12
991	1432	11
992	1434	10
993	1435	8
994	1437	7
995	1439	5
996	1440	4
997	1442	2
998	1443	1
999	1444	0
