iter	Logloss
170	0.3641429714
171	0.363397243
172	0.3629296844
173	0.362181067
174	0.3615155687
175	0.3609250924
176	0.3605638192
177	0.3598763276
178	0.3592866858
179	0.3587172
180	0.3581416456
181	0.3577512699
182	0.3574177646
183	0.3569976237
184	0.3565587482
185	0.3559738369
186	0.3552827586
187	0.3549022534
188	0.3540937406
189	0.3534693242
190	0.3528698172
191	0.3523193584
192	0.3518104932
193	0.3515053348
194	0.3511695069
195	0.3506133581
196	0.3502345296
197	0.3496443092
198	0.3493085554
199	0.3486965797
200	0.3479923205
201	0.3472694187
202	0.3466391125
203	0.3459548223
204	0.3452016589
205	0.3448295915
206	0.3445647497
207	0.3439850206
208	0.3432758464
209	0.3427486376
210	0.3422319428
211	0.3418032042
212	0.3412397389
213	0.3408230595
214	0.340310782
215	0.3399365496
216	0.3393443032
217	0.338548602
218	0.3384144106
219	0.3383399608
220	0.3377983598
221	0.3372078836
222	0.3369130807
223	0.3365761217
224	0.3361426177
225	0.3357860981
226	0.3354563804
227	0.3351363299
228	0.334634428
229	0.3342113209
230	0.3338256186
231	0.3331362943
232	0.332723681
233	0.3325400576
234	0.3322693346
235	0.33200455
236	0.3317801412
237	0.3314125239
238	0.3311209712
239	0.3305951588
240	0.3303180079
241	0.3298735908
242	0.3292718455
243	0.328709428
244	0.3284559976
245	0.3280239723
246	0.3277858666
247	0.3272002037
248	0.3269949519
249	0.3266065846
250	0.3261984286
251	0.3260104738
252	0.3255311808
253	0.3250426574
254	0.3245123958
255	0.3242483561
256	0.323830313
257	0.3234979343
258	0.3228543622
259	0.3223679049
260	0.321987539
261	0.3216579976
262	0.3212495605
263	0.3209573844
264	0.3205500229
265	0.3203120742
266	0.3199076012
267	0.3195808506
268	0.3193945288
269	0.3190894579
270	0.3187476205
271	0.3183906792
272	0.3179840387
273	0.3177377447
274	0.3174175163
275	0.3171332999
276	0.3166215074
277	0.3161842213
278	0.3157494085
279	0.3154802556
280	0.3150240699
281	0.3146708145
282	0.3144602862
283	0.3141549543
284	0.3136190416
285	0.3135325963
286	0.3132080157
287	0.3128794171
288	0.3124015125
289	0.3120267469
290	0.3116170043
291	0.3111585098
292	0.3109239208
293	0.310713985
294	0.3102824818
295	0.3099970804
296	0.309770814
297	0.3096196042
298	0.3093255003
299	0.3089701174
300	0.308662966
301	0.3083972862
302	0.3080499372
303	0.3078363236
304	0.3075140674
305	0.307258832
306	0.3069207786
307	0.3067577822
308	0.3064070053
309	0.3061259369
310	0.3058754063
311	0.3056360903
312	0.3053321787
313	0.304981774
314	0.3046221142
315	0.3043341771
316	0.3042474627
317	0.3040812091
318	0.3037913689
319	0.3035235947
320	0.3032884068
321	0.3031292539
322	0.3029221914
323	0.3027152237
324	0.302523277
325	0.3024122749
326	0.3021839585
327	0.3019851357
328	0.3015677055
329	0.3012617888
330	0.3009626152
331	0.3005990961
332	0.3002270417
333	0.3000412948
334	0.2997640747
335	0.299403002
336	0.2991492025
337	0.2989957837
338	0.2986806479
339	0.2983746568
340	0.2982274
341	0.2979976141
342	0.2978555237
343	0.297711807
344	0.2973745814
345	0.2971569198
346	0.2970051116
347	0.2966532035
348	0.2963288613
349	0.2961649313
350	0.2958427316
351	0.2955332982
352	0.2952621492
353	0.2950433642
354	0.294768603
355	0.2945370004
356	0.2941426999
357	0.2938900711
358	0.2936512988
359	0.2933474133
360	0.29305138
361	0.2928967252
362	0.2925925506
363	0.2924440691
364	0.2920792674
365	0.2917742639
366	0.2916177088
367	0.2913940298
368	0.2911550717
369	0.2910154268
370	0.2906829205
371	0.2903550771
372	0.2902148722
373	0.2900266366
374	0.2899635526
375	0.2896368549
376	0.289332138
377	0.289082267
378	0.2888608957
379	0.2887524616
380	0.2887423731
381	0.2885053776
382	0.2882723269
383	0.2879254056
384	0.287755316
385	0.2872378623
386	0.2870780873
387	0.2864846523
388	0.2862701524
389	0.28599754
390	0.2857812002
391	0.2855925209
392	0.285384889
393	0.285243536
394	0.2851203669
395	0.2850541045
396	0.2847627982
397	0.2844810862
398	0.2842235852
399	0.2840455277
400	0.2838558773
401	0.2835098964
402	0.2833760629
403	0.2830581019
404	0.2826561693
405	0.2825200051
406	0.2822389523
407	0.2820190597
408	0.2818914867
409	0.2816096672
410	0.2815071251
411	0.2812829277
412	0.2811048042
413	0.2806545984
414	0.280407291
415	0.2802301516
416	0.2799634331
417	0.2799170308
418	0.2797611345
419	0.2795644479
420	0.2793562158
421	0.2791021813
422	0.2789642595
423	0.2786931185
424	0.2785613773
425	0.2783451626
426	0.278109276
427	0.2778143432
428	0.2776568346
429	0.277465461
430	0.2771528246
431	0.2769613069
432	0.276694429
433	0.2764786381
434	0.2761407578
435	0.2758688873
436	0.2757270776
437	0.2754283804
438	0.2751904408
439	0.275075741
440	0.2747197272
441	0.2745245296
442	0.2743001213
443	0.2741019676
444	0.2739728415
445	0.2737202415
446	0.2735406071
447	0.2734128158
448	0.2732649693
449	0.2728128388
450	0.2726478146
451	0.2723364366
452	0.2720173212
453	0.2717680169
454	0.2714347202
455	0.271222607
456	0.2711808443
457	0.2709929206
458	0.2708245947
459	0.2706605399
460	0.2704212199
461	0.2703094233
462	0.2702145951
463	0.2701749748
464	0.2699301648
465	0.2698735011
466	0.2696967157
467	0.2694619615
468	0.2689878449
469	0.268808608
470	0.2685935459
471	0.2683294333
472	0.2681938642
473	0.2680272151
474	0.2677375826
475	0.2675973153
476	0.2674583662
477	0.2673361616
478	0.2671156028
479	0.2669452863
480	0.266762382
481	0.2666122732
482	0.2664391108
483	0.2663051247
484	0.2661675677
485	0.2660072165
486	0.2658549304
487	0.2656872246
488	0.2654814429
489	0.2653491017
490	0.2651338424
491	0.265002645
492	0.2648217605
493	0.2646379095
494	0.2644474194
495	0.2641703837
496	0.2640553402
497	0.2638925463
498	0.263576774
499	0.2633761366
500	0.263227775
501	0.2630844886
502	0.2629362228
503	0.2626975824
504	0.2624903756
505	0.2623119964
506	0.2620578298
507	0.2619535865
508	0.2617181145
509	0.2613940766
510	0.2611962918
511	0.2610083718
512	0.2608809138
513	0.2607742601
514	0.2606666199
515	0.2605407814
516	0.260276664
517	0.260018007
518	0.2598417931
519	0.2597978619
520	0.2595394065
521	0.2593537884
522	0.2591296763
523	0.258670406
524	0.2584818939
525	0.2583083475
526	0.2581806195
527	0.2579266089
528	0.2576859466
529	0.257440644
530	0.2573024011
531	0.2572129337
532	0.2569549838
533	0.2567156961
534	0.2564715515
535	0.2562665831
536	0.2559379348
537	0.25591269
538	0.2557213797
539	0.2555061044
540	0.2552830277
541	0.2550680612
542	0.2548938809
543	0.2548286689
544	0.25447502
545	0.2543089441
546	0.2542381789
547	0.2540364103
548	0.2538204984
549	0.2536082388
550	0.2534648825
551	0.2530705316
552	0.2527929219
553	0.2524868819
554	0.2522936156
555	0.2521379133
556	0.2519319103
557	0.2518431408
558	0.2516973021
559	0.2516279531
560	0.2514858714
561	0.2513513131
562	0.2511808981
563	0.2510051876
564	0.2508788669
565	0.2507806354
566	0.2505968356
567	0.2505237745
568	0.2503669475
569	0.2502919864
570	0.2500724981
571	0.2499733415
572	0.2498581832
573	0.2497040776
574	0.2495299821
575	0.2494171641
576	0.2493163481
577	0.2492680017
578	0.2491147187
579	0.2488128842
580	0.2486570165
581	0.2484646871
582	0.2483522815
583	0.2482235625
584	0.2480081274
585	0.2477889893
586	0.2476948376
587	0.2474822149
588	0.2473299147
589	0.2471271914
590	0.2470133641
591	0.2468957904
592	0.2467596543
593	0.2465095384
594	0.2463153492
595	0.2461771444
596	0.2459492512
597	0.2457820512
598	0.2456193419
599	0.2454633824
600	0.2453380901
601	0.2451376514
602	0.2449123042
603	0.2446776374
604	0.2445573769
605	0.2444474415
606	0.244285738
607	0.2440542336
608	0.2440116532
609	0.2436215597
610	0.243326836
611	0.2431831672
612	0.2429945645
613	0.2428445329
614	0.2427801468
615	0.2426430581
616	0.2425437548
617	0.2424034777
618	0.2422654661
619	0.242145983
620	0.2420260372
621	0.2418855666
622	0.2416732965
623	0.2415083853
624	0.2411982524
625	0.2411192282
626	0.2409281646
627	0.2408802215
628	0.2407337532
629	0.2405327995
630	0.2404966938
631	0.240283486
632	0.2400570191
633	0.2400183757
634	0.2398965801
635	0.2397793029
636	0.2397681743
637	0.2396618649
638	0.2393363664
639	0.2392455447
640	0.2390230824
641	0.2389186985
642	0.238829541
643	0.2386834443
644	0.238618349
645	0.2385323294
646	0.2382691403
647	0.2382063616
648	0.2381332851
649	0.2379724612
650	0.2378090017
651	0.2376059802
652	0.2374366623
653	0.2373339609
654	0.2371088924
655	0.2370238123
656	0.2368595787
657	0.2367208669
658	0.2366079108
659	0.2364613427
660	0.2364364397
661	0.2362158403
662	0.2360750564
663	0.2359261935
664	0.2357654542
665	0.2355691314
666	0.2353632885
667	0.235166225
668	0.2348958507
669	0.2348298331
670	0.2346211618
671	0.234480327
672	0.234333262
673	0.2340235663
674	0.2339253276
675	0.2337876801
676	0.2335643393
677	0.2333388192
678	0.2332428815
679	0.2330138885
680	0.2328277372
681	0.2326661382
682	0.2324747096
683	0.2322275193
684	0.2320595264
685	0.231911264
686	0.2316993018
687	0.2315038633
688	0.2313839709
689	0.2311420266
690	0.2310008995
691	0.2308735979
692	0.230651795
693	0.2304734738
694	0.2302807567
695	0.230138962
696	0.2300326029
697	0.2300102997
698	0.2299076982
699	0.2297511041
700	0.2295941539
701	0.2294436512
702	0.2293089421
703	0.2291611531
704	0.2289848923
705	0.2288006731
706	0.2287117404
707	0.2285669871
708	0.2284648051
709	0.228362953
710	0.2282006571
711	0.2281824961
712	0.2280807337
713	0.2278870505
714	0.2278623235
715	0.2277499108
716	0.2276505793
717	0.2275232685
718	0.2273488384
719	0.2270526856
720	0.2269800467
721	0.2269031527
722	0.2267449482
723	0.2265480219
724	0.2264467998
725	0.2262944697
726	0.2262200385
727	0.2260929274
728	0.2260250662
729	0.225907133
730	0.2257657876
731	0.2256650056
732	0.2254138979
733	0.2251118066
734	0.2250368301
735	0.2249566487
736	0.2247409396
737	0.2245844443
738	0.2244810421
739	0.2243997433
740	0.2242311117
741	0.2239927062
742	0.2239478259
743	0.2238165811
744	0.2236652028
745	0.2234102647
746	0.2233053183
747	0.2231065935
748	0.2230059076
749	0.2227181117
750	0.2224900736
751	0.222353746
752	0.2222763665
753	0.2221722802
754	0.2220730693
755	0.2219526485
756	0.2218667407
757	0.2217409018
758	0.2215718394
759	0.2214755626
760	0.2212985212
761	0.2212353482
762	0.2210751069
763	0.2208846457
764	0.2206738636
765	0.2205817351
766	0.2204274856
767	0.220332877
768	0.2202600493
769	0.2200106203
770	0.2196887949
771	0.2195695892
772	0.2193306233
773	0.2191955568
774	0.2190394623
775	0.2189480923
776	0.2188136049
777	0.218734341
778	0.2185933997
779	0.2185866133
780	0.2184808395
781	0.2182523508
782	0.2180002982
783	0.2177879804
784	0.2176165638
785	0.2173681678
786	0.2172494189
787	0.2171096223
788	0.216934511
789	0.216830442
790	0.2166195945
791	0.2163988401
792	0.2162092203
793	0.2159919618
794	0.2159179919
795	0.2157745
796	0.215651321
797	0.2153792016
798	0.215201546
799	0.215002841
800	0.2149416953
801	0.2147148922
802	0.2145457959
803	0.214471353
804	0.2143691788
805	0.2142731151
806	0.2141585314
807	0.2140436705
808	0.2140048634
809	0.2138984855
810	0.2138461759
811	0.2137000109
812	0.2136413196
813	0.2134499884
814	0.2132236496
815	0.2129875111
816	0.2128080183
817	0.212718393
818	0.2125934419
819	0.2125667899
820	0.2124108074
821	0.2123386339
822	0.212237136
823	0.2120275733
824	0.2119222112
825	0.2117957222
826	0.2117425702
827	0.2116623655
828	0.2115286959
829	0.2114410215
830	0.2114097472
831	0.2113687044
832	0.2111856893
833	0.2111238338
834	0.2109079022
835	0.2107671872
836	0.2107313724
837	0.2106359106
838	0.2105263205
839	0.2102582013
840	0.2100964514
841	0.2100716094
842	0.2098470852
843	0.2097472082
844	0.2095166771
845	0.2094549745
846	0.2093645291
847	0.2092741197
848	0.2091659552
849	0.2090414099
850	0.2089369522
851	0.2088425963
852	0.2087682069
853	0.2086786049
854	0.2086070315
855	0.2084675716
856	0.2083795588
857	0.2081193483
858	0.2080152135
859	0.2078723803
860	0.2077737584
861	0.2075685143
862	0.2074565501
863	0.2072810622
864	0.2071175346
865	0.2069253857
866	0.2067116291
867	0.2066937953
868	0.2065595927
869	0.2064968114
870	0.2063764719
871	0.2062919704
872	0.2061119548
873	0.2059937964
874	0.2059136628
875	0.2058305142
876	0.2057007366
877	0.2054797341
878	0.2053653295
879	0.2050508873
880	0.2050018918
881	0.2048476669
882	0.2047303902
883	0.2046312398
884	0.2044789474
885	0.2042419495
886	0.2040637629
887	0.2039755233
888	0.2038853085
889	0.2036907354
890	0.2036005016
891	0.2034948997
892	0.203348819
893	0.2032244335
894	0.203169925
895	0.2031021535
896	0.2029362797
897	0.2027943716
898	0.2026462186
899	0.2024983056
900	0.2024040538
901	0.2023631191
902	0.2022580042
903	0.2020165451
904	0.2018822051
905	0.2017187608
906	0.2016166126
907	0.2013962106
908	0.2012101113
909	0.2011238706
910	0.2009364969
911	0.2006746222
912	0.2005578682
913	0.200493487
914	0.2003578876
915	0.2001755577
916	0.2001083476
917	0.1999653141
918	0.1999072445
919	0.1996667178
920	0.1995090443
921	0.1994138472
922	0.1993445154
923	0.1991578303
924	0.1990286576
925	0.1988387102
926	0.1986303845
927	0.1985267299
928	0.198416831
929	0.1982935522
930	0.1981531291
931	0.1979690913
932	0.1978068637
933	0.1976914639
934	0.1975307186
935	0.1974302727
936	0.1973736547
937	0.19719707
938	0.1971167784
939	0.1969439262
940	0.1968189972
941	0.1967172021
942	0.1965663007
943	0.196329196
944	0.1962718932
945	0.1961518517
946	0.1959835483
947	0.1959492997
948	0.1959105039
949	0.1957838986
950	0.1956221053
951	0.1955343376
952	0.1954581785
953	0.195335434
954	0.1952301381
955	0.1951380527
956	0.194964368
957	0.1948936945
958	0.1948269452
959	0.1946216555
960	0.1944179126
961	0.1943595162
962	0.1941749152
963	0.194102667
964	0.1940145183
965	0.1938456704
966	0.1936521885
967	0.1935893108
968	0.1935313845
969	0.1934722583
970	0.1932605976
971	0.1930935093
972	0.1929219103
973	0.1928019499
974	0.1926649049
975	0.1925332863
976	0.1923144341
977	0.1922764798
978	0.1921779073
979	0.1920605135
980	0.1918000402
981	0.1916436448
982	0.1915507449
983	0.1914636155
984	0.1913602678
985	0.1913174647
986	0.1911167875
987	0.1909307739
988	0.190863663
989	0.1906953436
990	0.1904668455
991	0.190309003
992	0.1902733813
993	0.1901688791
994	0.1899744221
995	0.1898724222
996	0.1897187404
997	0.1896087871
998	0.1894412531
999	0.1892653174
